pressure,wellbeing,cooperation,competition,formalization,flexibility,performance,innoprocess,innoproduct,size,duration,Culture.national,Culture.craft,distance,function.
1,3.5,3.35,2.2,3,1,4,2.89,3.33,NA,2-3 years,1,4,1,NA
2,3.5,3,1.2,2,3,3.2,3,4,NA,2-3 years,2.68,4.15,2.58,NA
5,1.75,2.5,2.2,4,4,3.34,2.89,2.89,NA,2-3 years,2.68,4.15,2.58,NA
1.5,4.25,3.35,2.2,3.48,3.63,3.34,2.89,2.89,NA,less than 1 year,2.68,4.15,2.58,NA
4,2.5,4,1.6,3,4,3.34,2.89,2.89,NA,2-3 years,2.68,4.15,2.58,NA
5,2.5,2.25,4.2,2,5,3.34,2.89,2.89,NA,2-3 years,2.68,4.15,2.58,NA
3.5,2.25,3.35,2.2,3.48,3.63,3.34,2.89,2.89,NA,4-5 years,2.68,4.15,2.58,NA
1.5,3.25,5,1,3.48,3.63,3.34,2.89,2.89,NA,2-3 years,2.68,4.15,2.58,NA
3,3.5,3.35,2.2,3.48,3.63,3.34,2.89,2.89,NA,less than 1 year,2.68,4.15,2.58,NA
4,2,1.5,3.8,3,2.67,3.34,2.89,2.89,NA,less than 1 year,2.68,4.15,2.58,NA
3.5,3.5,3.5,1.2,4,3.67,3.34,2.89,2.89,NA,less than 1 year,2.68,4.15,2.58,NA
4,2,3.75,2.6,3.67,4.67,3.34,2.89,2.89,NA,2-3 years,2.68,4.15,2.58,NA
3,3.25,3.35,2.2,3.48,3.63,3.34,2.89,2.89,NA,less than 1 year,2.68,4.15,2.58,NA
4.5,2,3,2.2,3.48,3.63,3.34,2.89,2.89,NA,less than 1 year,2.68,4.15,2.58,NA
5,3,4,2.66,5,3.67,3.34,2.89,2.89,NA,2-3 years,2.68,4.15,2.58,NA
4.5,3,3,2.4,3,2,2.6,3,3.33,2–5 members,less than 1 year,1,3,2.67,Project director
4,4,4,2,3,4,4.6,3,4.5,2–5 members,2-3 years,1,3,1.67,Project manager
3,3.75,2,1.8,3.33,3.67,3.8,2.5,3,2–5 members,2-3 years,1,5,1.67,Project manager
2.5,4,4,1,4.67,3.67,3.6,4,4,2–5 members,less than 1 year,3,1,2.33,Project manager
1.5,2.25,4.25,1.83,4.33,4.67,3.8,4.5,3.33,2–5 members,less than 1 year,2,2,1,Project manager
2,4.75,4,1.6,2.33,1.67,5,2,3,2–5 members,2-3 years,1,4,1.67,Project manager
4.5,2.5,2.5,1.8,2,4.33,2.46,2.95,4.06,2–5 members,2-3 years,1,5,2.33,Project manager
5,1.5,3.75,2.59,3.67,3.67,3.6,2.95,3.83,2–5 members,2-3 years,1,5,2.67,Project manager
2.5,4,4.25,1.6,3.67,3.33,3.4,2,3.5,2–5 members,2-3 years,1,5,1.33,Project manager
2.5,3.75,3.5,2,2.67,3.33,3.85,3.5,2.56,2–5 members,4-5 years,1,3,1.67,Project manager
4,3.25,1.5,1,1.33,4,2.25,1,1,2–5 members,2-3 years,1,1,1,Project manager
3,3.5,4.5,1.2,5,4,5,4,2.06,2–5 members,2-3 years,1,4,1,Project manager
3.5,1.75,2.75,1,1,5,2.6,4,3,2–5 members,2-3 years,1,5,2,Project manager
3,1.75,4,1,3.33,4.33,3.8,3,5,2–5 members,2-3 years,1,1,1,Project manager
5,1.75,2.75,2.2,2.33,3.33,2.2,2,3.5,2–5 members,less than 1 year,1,2,1,Project manager
4,3,4.75,1.4,3.33,3.33,3.8,3.5,2.89,2–5 members,2-3 years,5,5,4.67,Project manager
3.5,4.25,2,3.4,1.67,4,3.4,4.5,1,2–5 members,less than 1 year,3,1,1,Project manager
2,4,5,2,2.33,3.67,3.2,2.5,2.89,2–5 members,2-3 years,5,5,1,Project manager
3.5,2.75,2.25,3,2,4,2.8,4,3,2–5 members,2-3 years,2,4,3.67,Project manager
5,3.5,4,2,2.67,3,3.4,4,3,2–5 members,less than 1 year,1,5,2.67,Project manager
2,4.25,4.5,2,4.33,4,4.6,3.5,1,2–5 members,less than 1 year,1,5,1,Actor of the project
4,2.25,2,1.4,1.67,3,2.2,3,3.5,2–5 members,2-3 years,4,4,1.67,Actor of the project
3,2.25,4,1.4,5,5,4.4,4,2.89,2–5 members,2-3 years,4,4,1.67,Actor of the project
3,3.5,2.5,1,2,3.33,3.4,3,2.83,2–5 members,2-3 years,1,1,3.33,Actor of the project
2.5,4,4,2,4,4.33,3.8,2.5,4,2–5 members,less than 1 year,3,3,4,Actor of the project
2,4,3.75,2.8,3.42,3.63,3.34,2.89,2.89,2–5 members,2-3 years,1,3,1,Actor of the project
5,1.25,3,2.2,2.33,4.33,3,2,2,2–5 members,less than 1 year,1,5,1.33,Actor of the project
4,2.75,2,1,4.33,4,2.8,4,1,2–5 members,less than 1 year,1,4,2.67,Actor of the project
4,2.75,3.75,3,4,4,3.2,2,3,2–5 members,2-3 years,1,5,2.33,Actor of the project
5,1.75,2.25,2.2,2,4.67,2,3,3,2–5 members,less than 1 year,5,5,1,Actor of the project
2.5,4,3,2.8,3,4,4.2,3,2.5,2–5 members,2-3 years,3,5,1.67,Actor of the project
4,3.25,2.5,1.2,4.67,3,2.4,4.5,3,6–10 members,4-5 years,1,4,3, Project director
3,2.5,3.25,2.2,4.67,3.67,3.4,3,3,6–10 members,less than 1 year,1,5,2.33, Project director
4.5,2.5,3,3.6,3.33,2.33,2.4,2.5,2.5,6–10 members,2-3 years,3,5,1.67, Project director
4,3.25,4,1.6,2,5,4.2,3.5,3,6–10 members,2-3 years,3,5,1.33, Project director
1.5,2.75,4.25,4,2.33,4,3.2,4.5,3.5,6–10 members,2-3 years,5,5,1.33, Project director
4,3.25,3,2.8,3,3,3,3,3,6–10 members,less than 1 year,5,5,4.67, Project director
4,2.48,3.75,3.6,4,4,3.4,4,4,6–10 members,2-3 years,2,3,1.67, Project director
3,3,3.5,1.6,1,2.33,2.4,2.5,3,6–10 members,less than 1 year,1,5,1.67, Project director
2.5,4,1.25,2,3.33,2,3.4,3,3.5,6–10 members,less than 1 year,1,3,1.33,Project manager
4.5,4.25,4.25,3,4,3,4.6,2.95,4,6–10 members,2-3 years,4,4,1,Project manager
4,2.5,3,3.4,4.67,4,3.4,2.5,2.89,6–10 members,2-3 years,1,5,1,Project manager
5,2.25,4.25,2.2,4.33,4,4.4,2.89,2.89,6–10 members,less than 1 year,5,5,1.67,Project manager
3.5,4,2.75,1.6,3.67,4.33,4.4,3.5,2.89,6–10 members,2-3 years,1,4,1.33,Project manager
3.5,3.5,4,3.2,3.33,3.33,2.6,2.5,3,6–10 members,2-3 years,4,5,2,Project manager
1.5,2.5,3.25,3.2,4,3.67,3,3,2.89,6–10 members,less than 1 year,1,5,2.33,Project manager
3,3.5,4,1,4.33,3.67,3,2.5,2.5,6–10 members,less than 1 year,5,4,5,Project manager
4.5,2,5,1,4,3,4.2,4,3,6–10 members,2-3 years,5,5,3,Project manager
4.5,1.5,4,2.8,1.33,4,1.8,4.5,3,6–10 members,2-3 years,1,5,2,Project manager
4,3.5,3.5,2,4.33,4.33,3.8,3.5,2.89,6–10 members,2-3 years,3,4,2,Project manager
3.5,3.75,3,1.8,2.33,2.67,2.8,3,3,6–10 members,2-3 years,1,4,1.67,Project manager
3.5,2,3,1.4,3.67,4,3,2,3.5,6–10 members,NA,1,5,1,Project manager
4.5,3,4,2.8,3,3,5,5,5,6–10 members,2-3 years,4,4,4,Project manager
3.5,3.25,3.75,3.2,3.67,4,3.6,3,3.5,6–10 members,2-3 years,1,4,1.33,Project manager
3.5,2.25,3.75,1.4,3,2.67,4,1,3.5,6–10 members,2-3 years,1,4,1,Project manager
3.5,2.5,4.25,1.2,5,4,4.8,3,3,6–10 members,less than 1 year,1,5,3,Project manager
2,2.5,3.5,1.6,4,3,3.2,2.5,2.89,6–10 members,2-3 years,1,5,2.33,Project manager
2,3.75,2.5,2.2,3.33,1.33,4.6,3,2.89,6–10 members,2-3 years,5,5,4.67,Project manager
3,2,2.75,1.4,4,3.33,3.8,1,2,6–10 members,2-3 years,1,1,3,Project manager
2.5,3.75,4,1.2,2,3.33,4,3,3,6–10 members,less than 1 year,1,4,1,Project manager
2.5,3,4.5,2.8,4.33,4.33,4.2,3.5,2.89,6–10 members,2-3 years,5,5,2.67,Project manager
2,4,4,1,2,5,3.6,3,3,6–10 members,less than 1 year,3,3,2,Actor of the project
4.5,2,2.75,2.8,2.33,3.33,3,2,2,6–10 members,4-5 years,1,2,1.67,Actor of the project
4,3,2.75,2.6,3.33,2.67,3.2,3.5,2,6–10 members,6-9 years,5,3,5,Actor of the project
4,2.5,2.5,2.6,3,4.33,3.25,2,2.5,6–10 members,2-3 years,4,5,3.67,Actor of the project
4.5,2.25,2.25,1.8,2.67,4,1.8,1.5,2.83,6–10 members,more than 10 years,5,5,5,Actor of the project
4,3.5,2.5,3.8,2.67,3.33,2.4,3,3,6–10 members,2-3 years,2,4,1.33,Actor of the project
3.5,3.5,2.98,2,4,2,3.4,2.5,2,6–10 members,2-3 years,1,4,2,Actor of the project
4,2,4.5,1,5,5,2.2,2.95,4.5,6–10 members,less than 1 year,3,5,1,Actor of the project
3,3.5,2.98,2,4,3.55,2.2,2.45,2.83,6–10 members,less than 1 year,1,4,1,Actor of the project
1,3.25,3,2.8,2.33,4,2.2,2.5,2,6–10 members,2-3 years,2,4,2.67,Actor of the project
3.5,3,3.5,2.16,4,4.33,4.4,2,2,6–10 members,2-3 years,1,4,2,Actor of the project
5,2,2.5,2.2,3.33,4,2.6,2.5,3.5,6–10 members,less than 1 year,3,5,2.67,Actor of the project
