"pressure","wellbeing","cooperation","competition","formalization","flexibility","performance","innoprocess","innoproduct","size","duration","Culture.national","Culture.craft","distance","function."
1,3.5,3.35,2.2,3,1,4,2.89,3.33,"0","2",1,4,1,"0"
2,3.5,3,1.2,2,3,3.2,3,4,"0","2",2.68,4.15,2.58,"0"
5,1.75,2.5,2.2,4,4,3.34,2.89,2.89,"0","2",2.68,4.15,2.58,"0"
1.5,4.25,3.35,2.2,3.48,3.63,3.34,2.89,2.89,"0","1",2.68,4.15,2.58,"0"
4,2.5,4,1.6,3,4,3.34,2.89,2.89,"0","2",2.68,4.15,2.58,"0"
5,2.5,2.25,4.2,2,5,3.34,2.89,2.89,"0","2",2.68,4.15,2.58,"0"
3.5,2.25,3.35,2.2,3.48,3.63,3.34,2.89,2.89,"0","3",2.68,4.15,2.58,"0"
1.5,3.25,5,1,3.48,3.63,3.34,2.89,2.89,"0","2",2.68,4.15,2.58,"0"
3,3.5,3.35,2.2,3.48,3.63,3.34,2.89,2.89,"0","1",2.68,4.15,2.58,"0"
4,2,1.5,3.8,3,2.67,3.34,2.89,2.89,"0","1",2.68,4.15,2.58,"0"
3.5,3.5,3.5,1.2,4,3.67,3.34,2.89,2.89,"0","1",2.68,4.15,2.58,"0"
4,2,3.75,2.6,3.67,4.67,3.34,2.89,2.89,"0","2",2.68,4.15,2.58,"0"
3,3.25,3.35,2.2,3.48,3.63,3.34,2.89,2.89,"0","1",2.68,4.15,2.58,"0"
4.5,2,3,2.2,3.48,3.63,3.34,2.89,2.89,"0","1",2.68,4.15,2.58,"0"
5,3,4,2.66,5,3.67,3.34,2.89,2.89,"0","2",2.68,4.15,2.58,"0"
4.5,3,3,2.4,3,2,2.6,3,3.33,"1","1",1,3,2.67,"1"
4,4,4,2,3,4,4.6,3,4.5,"1","2",1,3,1.67,"2"
3,3.75,2,1.8,3.33,3.67,3.8,2.5,3,"1","2",1,5,1.67,"2"
2.5,4,4,1,4.67,3.67,3.6,4,4,"1","1",3,1,2.33,"2"
1.5,2.25,4.25,1.83,4.33,4.67,3.8,4.5,3.33,"1","1",2,2,1,"2"
2,4.75,4,1.6,2.33,1.67,5,2,3,"1","2",1,4,1.67,"2"
4.5,2.5,2.5,1.8,2,4.33,2.46,2.95,4.06,"1","2",1,5,2.33,"2"
5,1.5,3.75,2.59,3.67,3.67,3.6,2.95,3.83,"1","2",1,5,2.67,"2"
2.5,4,4.25,1.6,3.67,3.33,3.4,2,3.5,"1","2",1,5,1.33,"2"
2.5,3.75,3.5,2,2.67,3.33,3.85,3.5,2.56,"1","3",1,3,1.67,"2"
4,3.25,1.5,1,1.33,4,2.25,1,1,"1","2",1,1,1,"2"
3,3.5,4.5,1.2,5,4,5,4,2.06,"1","2",1,4,1,"2"
3.5,1.75,2.75,1,1,5,2.6,4,3,"1","2",1,5,2,"2"
3,1.75,4,1,3.33,4.33,3.8,3,5,"1","2",1,1,1,"2"
5,1.75,2.75,2.2,2.33,3.33,2.2,2,3.5,"1","1",1,2,1,"2"
4,3,4.75,1.4,3.33,3.33,3.8,3.5,2.89,"1","2",5,5,4.67,"2"
3.5,4.25,2,3.4,1.67,4,3.4,4.5,1,"1","1",3,1,1,"2"
2,4,5,2,2.33,3.67,3.2,2.5,2.89,"1","2",5,5,1,"2"
3.5,2.75,2.25,3,2,4,2.8,4,3,"1","2",2,4,3.67,"2"
5,3.5,4,2,2.67,3,3.4,4,3,"1","1",1,5,2.67,"2"
2,4.25,4.5,2,4.33,4,4.6,3.5,1,"1","1",1,5,1,"3"
4,2.25,2,1.4,1.67,3,2.2,3,3.5,"1","2",4,4,1.67,"3"
3,2.25,4,1.4,5,5,4.4,4,2.89,"1","2",4,4,1.67,"3"
3,3.5,2.5,1,2,3.33,3.4,3,2.83,"1","2",1,1,3.33,"3"
2.5,4,4,2,4,4.33,3.8,2.5,4,"1","1",3,3,4,"3"
