"Attribute","Q1","Q3","IQR","Skewness","Kurtosis","Range","Outliers"
"pressure",3,4.25,1.25,-0.475373787544252,-0.439777243381795,4,2
"wellbeing",2.25,3.5,1.25,0.0669889032018329,-0.780243579136964,3.5,0
"cooperation",2.75,4,1.25,-0.290106685295699,-0.538433912151546,4,0
"competition",1.6,2.8,1.2,0.42436063954931,-0.531595648318471,3.6,0
"formalization",3,4,1,-0.518188588408307,-0.192121801443079,4,5
"flexibility",3.255,4,0.745,-0.830054259951866,0.641170548225695,4,15
"performance",3,3.8,0.8,-0.291916379818983,-0.13136490408054,3.8,6
"innoprocess",2.5,3.5,1,-0.25949822942656,0.209201389282725,4,0
"innoproduct",2.5,3,0.5,-0.0675191175865254,0.746359960065567,4,41
"Culture.national",1,4,3,0.30773085797923,-1.51422669123499,4,0
"Culture.craft",4,5,1,-1.38867424095285,1.36460699340473,4,17
"distance",1.67,3.67,2,0.472467855543518,-0.808010347096644,4,0
